bus0,bus1,voltage,s_nom,r,x,b,length,type
way/91441017-220,ES271-220,220,491.556,0.414074,2.077273,2.71e-05,6901.24,Al/St 240/40 2-bundle 220.0
ES266-220,ES252-220,220,491.556,2.320861,11.642984,0.0001519,38681.01,Al/St 240/40 2-bundle 220.0
way/90829734-400,way/181912569-400,400,3574.953,0.903779,7.410989,0.00052243,60251.94,Al/St 240/40 4-bundle 380.0
ES143-400,ES162-400,400,1787.476,0.660011,5.412091,9.54e-05,22000.37,Al/St 240/40 4-bundle 380.0
way/93349144-220,ES165-220,220,983.112,0.034034,0.170738,8.91e-06,1134.47,Al/St 240/40 2-bundle 220.0
way/190110739-220,ES3-220,220,983.112,0.459662,2.305973,0.00012034,15322.08,Al/St 240/40 2-bundle 220.0
way/58928252-400,way/81152317-400,400,1787.476,2.436534,19.979581,0.00035211,81217.81,Al/St 240/40 4-bundle 380.0
way/58928252-220,ES80-220,220,491.556,0.191312,0.959748,1.25e-05,3188.53,Al/St 240/40 2-bundle 220.0
way/775256181-220,way/169999915-220,220,491.556,0.642732,3.224372,4.21e-05,10712.2,Al/St 240/40 2-bundle 220.0
way/75902880-400,way/97286424-400,400,3574.953,1.194784,9.797233,0.00069065,79652.3,Al/St 240/40 4-bundle 380.0
ES384-400,way/98603324-400,400,3574.953,0.08262,0.677486,4.78e-05,5508.02,Al/St 240/40 4-bundle 380.0
way/191053032-220,way/1262731213-220,220,983.112,1.435288,7.200361,0.00037576,47842.93,Al/St 240/40 2-bundle 220.0
way/1262731213-220,way/181677165-220,220,983.112,0.126248,0.633345,3.31e-05,4208.27,Al/St 240/40 2-bundle 220.0
way/1262731213-220,way/1262722037-220,220,983.112,0.284672,1.428107,7.45e-05,9489.08,Al/St 240/40 2-bundle 220.0
way/97286424-220,way/1262731213-220,220,983.112,0.848631,4.257299,0.00022217,28287.7,Al/St 240/40 2-bundle 220.0
way/94185870-220,ES367-220,220,983.112,0.236471,1.186297,6.19e-05,7882.37,Al/St 240/40 2-bundle 220.0
way/182260861-220,way/97851756-220,220,983.112,0.53403,2.679049,0.00013981,17800.99,Al/St 240/40 2-bundle 220.0
way/97937366-400,way/170946426-400,400,1787.476,2.206289,18.091568,0.00031884,73542.96,Al/St 240/40 4-bundle 380.0
way/97937366-220,way/222885498-220,220,491.556,0.795794,3.992232,5.21e-05,13263.23,Al/St 240/40 2-bundle 220.0
way/98127909-220,way/691036111-220,220,491.556,0.976751,4.900033,6.39e-05,16279.18,Al/St 240/40 2-bundle 220.0
way/986410945-400,way/986410926-400,400,1787.476,0.10757,0.882077,1.56e-05,3585.68,Al/St 240/40 4-bundle 380.0
way/1168861008-400,way/168358225-400,400,1787.476,0.642889,5.271691,9.29e-05,21429.64,Al/St 240/40 4-bundle 380.0
way/996050563-220,way/164823726-220,220,491.556,0.198596,0.996289,1.3e-05,3309.93,Al/St 240/40 2-bundle 220.0
