from_cluster_id,from_cluster_type,to_cluster_id,to_cluster_type,s_nom,num_lines,voltage,length,bus0,bus1,type,line_id,from_bus,to_bus,connection_type,length,water_distance_km,water_share,crosses_water,water_types
17,renewable,3,demand,0.0,,0.0,403.258105075098,sol17,dem3,Potential connection: Renewable cluster 17 to Demand cluster 3,potential_renewable17-demand3,renewable17,demand3,potential,403.258105075098,194.60714523524632,0.48258706467661694,True,['ocean']
18,renewable,3,demand,0.0,,0.0,98.76343517563117,sol18,dem3,Potential connection: Renewable cluster 18 to Demand cluster 3,potential_renewable18-demand3,renewable18,demand3,potential,98.76343517563117,0.0,0.0,False,[]
2,renewable,0,demand,0.0,,0.0,96.74156029449968,sol2,dem0,Potential connection: Renewable cluster 2 to Demand cluster 0,potential_renewable2-demand0,renewable2,demand0,potential,96.74156029449968,0.0,0.0,False,[]
20,renewable,1,generation,0.0,,0.0,76.44259291906786,sol20,gen1,Potential connection: Renewable cluster 20 to Generation cluster 1,potential_renewable20-generation1,renewable20,generation1,potential,76.44259291906786,0.0,0.0,False,[]
21,renewable,4,generation,0.0,,0.0,28.924613730959663,sol21,gen4,Potential connection: Renewable cluster 21 to Generation cluster 4,potential_renewable21-generation4,renewable21,generation4,potential,28.924613730959663,0.0,0.0,False,[]
24,renewable,1,generation,0.0,,0.0,159.3121210530409,sol24,gen1,Potential connection: Renewable cluster 24 to Generation cluster 1,potential_renewable24-generation1,renewable24,generation1,potential,159.3121210530409,0.0,0.0,False,[]
26,renewable,4,demand,0.0,,0.0,112.30388322161771,sol26,dem4,Potential connection: Renewable cluster 26 to Demand cluster 4,potential_renewable26-demand4,renewable26,demand4,potential,112.30388322161771,0.0,0.0,False,[]
30,renewable,4,demand,0.0,,0.0,119.9764048568047,won0,dem4,Potential connection: Renewable cluster 30 to Demand cluster 4,potential_renewable30-demand4,renewable30,demand4,potential,119.9764048568047,0.0,0.0,False,[]
31,renewable,3,demand,0.0,,0.0,361.1801074173222,won1,dem3,Potential connection: Renewable cluster 31 to Demand cluster 3,potential_renewable31-demand3,renewable31,demand3,potential,361.1801074173222,188.61627831793493,0.5222222222222223,True,['ocean']
33,renewable,3,demand,0.0,,0.0,214.02003928803558,won3,dem3,Potential connection: Renewable cluster 33 to Demand cluster 3,potential_renewable33-demand3,renewable33,demand3,potential,214.02003928803558,0.0,0.0,False,[]
