GEM location ID,bus_id,bus_name
L100000809148,way/164775125-275,Robertstown
L100001023788,AU51-220,Kalgoorlie
L100001023957,way/164775125-275,Robertstown
L100001080370,way/164775125-275,Robertstown
L100001023873,AU73-330,CentralCoast
L100000805526,way/583513574-330,Morawa
L100001023795,way/89180086-220,Ballarat
L100000805586,way/172231145-330,Wagga
L100001080313,way/925410265-330,SydneyWest
L100000805454,way/169416665-220,DarlingtonPoint
L100001023883,AU73-330,CentralCoast
L100001080327,way/169416665-220,DarlingtonPoint
L100001023759,AU51-220,Kalgoorlie
L100000805644,way/583506664-220,AUS22p9S118p7E
L100000827543,way/655511604-330,Canberra
L100000809149,way/655511604-330,Canberra
L100000805527,way/160201298-330,Armidale
L100000805528,way/655511604-330,Canberra
L100000805647,way/172887193-330,BulliCreek
L100001080297,way/160201298-330,Armidale
L100000805679,way/171744075-275,Strathmore
L100000827545,way/172362099-275,Para
L100000805474,way/171744075-275,Strathmore
L100001045288,way/169416665-220,DarlingtonPoint
L100000805524,way/171744075-275,Strathmore
L100001045182,way/480009927-500,Hazelwood
L100001080287,way/172587651-275,Brisbane
L100001080299,way/64943050-500,SouthMorang
L100001023991,way/171728751-275,GinGin
L100000805513,way/169416665-220,DarlingtonPoint
L100001045184,way/160201298-330,Armidale
L100001023888,way/172587651-275,Brisbane
L100001023889,way/172362099-275,Para
L100001023899,way/172362099-275,Para
L100001020242,way/170709510-275,Tarong
L100000805556,AU104-220,Horsham
L100000805441,way/171744075-275,Strathmore
L100001023996,way/570175005-220,Rowville
L100001045681,way/655511604-330,Canberra
L100000805545,way/171728751-275,GinGin
L100001023985,AU57-330,Perth
L100001023831,way/172362099-275,Para
L100001023775,way/196583889-275,Chalumbin
L100000805443,way/169408193-330,MountPiper
L100000805463,way/172231145-330,Wagga
L100001080328,way/583506664-220,AUS22p9S118p7E
L100001080347,way/172231145-330,Wagga
L100000805468,way/172231145-330,Wagga
L100001080366,way/172887193-330,BulliCreek
L100001023812,way/164775125-275,Robertstown
L100001023804,way/164775125-275,Robertstown
L100000827546,way/172887193-330,BulliCreek
L100000805439,way/169794711-220,Balranald
L100001055921,way/583492111-220,Karratha
L100001023776,way/64943050-500,SouthMorang
L100000805458,way/196583889-275,Chalumbin
L100001080343,AU51-220,Kalgoorlie
L100001023829,way/925410265-330,SydneyWest
L100000827547,way/171744075-275,Strathmore
L100001019892,way/64943050-500,SouthMorang
L100000827549,way/172887193-330,BulliCreek
L100000805498,way/169794711-220,Balranald
L100001080282,way/89180086-220,Ballarat
L100001080293,way/169416665-220,DarlingtonPoint
L100001045653,way/172362099-275,Para
L100000805486,way/169794711-220,Balranald
L100000805449,way/196583889-275,Chalumbin
L100001080326,way/172587651-275,Brisbane
L100001049301,way/583513574-330,Morawa
L100000827486,way/196583889-275,Chalumbin
L100001023864,AU51-220,Kalgoorlie
L100000805469,way/170709510-275,Tarong
L100001023905,way/89180086-220,Ballarat
L100000805604,way/223939702-220,Merredin
L100001020120,way/169794711-220,Balranald
L100001080289,way/160201298-330,Armidale
L100001080295,AU57-330,Perth
L100001023890,way/64943050-500,SouthMorang
L100000827548,way/196583889-275,Chalumbin
L100001049298,way/160201298-330,Armidale
L100000805558,way/64943050-500,SouthMorang
L100001023951,way/89180086-220,Ballarat
L100001020384,way/196583889-275,Chalumbin
L100001023792,way/169416665-220,DarlingtonPoint
L100001023768,AU51-220,Kalgoorlie
L100001023958,way/172587651-275,Brisbane
L100000805576,way/121646942-275,Broadsound
L100000805442,way/169794711-220,Balranald
L100001080306,way/925410265-330,SydneyWest
L100001023973,AU57-330,Perth
L100001023751,way/172231145-330,Wagga
L100001080355,way/172587651-275,Brisbane
L100000827550,way/121646942-275,Broadsound
L100001023948,way/570175005-220,Rowville
L100001080350,way/570175005-220,Rowville
L100001080351,way/164775125-275,Robertstown
L100000805651,way/170709510-275,Tarong
L100001023913,way/64943050-500,SouthMorang
L100001023942,way/64943050-500,SouthMorang
L100001080315,way/160201298-330,Armidale
L100001023969,AU51-220,Kalgoorlie
L100001080288,way/925410265-330,SydneyWest
L100001080314,way/172362099-275,Para
L100001045276,AU73-330,CentralCoast
L100000805539,way/171744075-275,Strathmore
L100001023923,way/655511604-330,Canberra
L100000805617,way/169408193-330,MountPiper
L100001023965,way/171728751-275,GinGin
L100001023921,way/89180086-220,Ballarat
L100000805517,way/169408193-330,MountPiper
L100001023936,way/196583889-275,Chalumbin
