GEM location ID,bus_id,bus_name
L100001022791,NO46-300,NOR61p5N7p6E
L100000602951,NO69-420,Voss
L100001023173,NO46-300,NOR61p5N7p6E
L100001023174,way/287685850-420,Trondheim
L100000602952,way/297388897-300,Ringsaker
L100001046195,NO60-300,Lindas
L100000602953,relation/8473044-420,MoIRana
L100000602954,way/265770276-300,Faberg
L100000602955,NO46-300,NOR61p5N7p6E
L100001054803,way/287115458-300,Drammen
L100000602956,relation/8473044-420,MoIRana
L100001056483,relation/10308957-300,Oslo
L100000602957,relation/10308957-300,Oslo
L100000602958,NO51-420,Sogndal
L100000602959,way/297388897-300,Ringsaker
L100000602960,way/297388897-300,Ringsaker
L100000602961,relation/12832053-420,Strand
L100001023175,relation/8886202-420,Froyland
L100000602962,way/265770276-300,Faberg
L100001023176,way/358915801-420,Arendal
L100000602963,relation/7847764-420,NOR60p4N8p6E
L100000602964,way/60495669-420,Sarpsborg
L100000602965,relation/12832053-420,Strand
L100001046197,way/297388897-300,Ringsaker
L100001046199,NO1-420,Narvik
L100000602966,NO15-420,NOR67p1N15p5E
L100001023177,NO18-420,Bodo
L100001046200,NO15-420,NOR67p1N15p5E
L100001056484,way/265770276-300,Faberg
L100000602967,relation/7928148,Kristiansand
L100000602968,NO5-400,NOR68p1N17p5E
L100001023178,way/257192868-220,Vadso
L100000602969,way/287115458-300,Drammen
L100001061381,NO18-420,Bodo
L100001056485,way/287685850-420,Trondheim
L100001056486,way/287685850-420,Trondheim
L100000602970,relation/10308957-300,Oslo
L100000602971,relation/10308957-300,Oslo
L100000602972,relation/8890887,Egersund
L100000602973,relation/7883882-300,Notodden
L100000602974,relation/12832053-420,Strand
L100001046203,relation/12832053-420,Strand
L100001046205,NO10-420,NOR68p0N16p4E
L100000602975,relation/7928148,Kristiansand
L100000602976,NO60-300,Lindas
L100001023179,relation/12832053-420,Strand
L100000602977,way/572898616-420,Finnsnes
L100001054804,NO46-300,NOR61p5N7p6E
L100000602978,relation/12832053-420,Strand
L100000602979,relation/12832053-420,Strand
L100000602980,relation/7883882-300,Notodden
L100000602981,NO18-420,Bodo
L100000602982,NO18-420,Bodo
