GEM location ID,bus_id,bus_name
L100001078126,way/128190689-380,Elbistan
L100001078158,way/128190689-380,Elbistan
L100001078213,way/177818606-380,Osmaniye
L100001078222,way/128190689-380,Elbistan
L100001078248,way/128190689-380,Elbistan
L100001078256,way/128190689-380,Elbistan
L100001078271,way/128190689-380,Elbistan
L100001078439,way/177818606-380,Osmaniye
L100001078272,way/128190689-380,Elbistan
L100001078307,way/177818606-380,Osmaniye
L100001078340,way/177818606-380,Osmaniye
L100001078377,way/177818606-380,Osmaniye
L100000831382,way/176009144-380,Etimesgut
L100001077541,way/127986151-380,Akhisar
L100001077535,way/966899330-380,Sakarya
L100001078403,way/229782457-380,Adyaman
L100001078631,way/229782457-380,Adyaman
L100001078781,way/229782457-380,Adyaman
L100001079188,way/229782457-380,Adyaman
L100001079850,way/229782457-380,Adyaman
L100001079324,way/229782457-380,Adyaman
L100001079431,way/229782457-380,Adyaman
L100001079533,way/229782457-380,Adyaman
L100001079748,way/229782457-380,Adyaman
L100000831384,way/127986151-380,Akhisar
L100000831385,way/176009144-380,Etimesgut
L100001077764,way/194508537-380,Cermik
L100000831386,way/130569382-380,Izmir
L100001077690,way/130740157-380,Afyonkarahisar
L100001077740,way/194508537-380,Cermik
L100000831387,way/172934497-380,Konya
L100001077742,way/129553303-380,Diyarbakr
L100000831389,TR123-380,Denizli
L100001077549,TR123-380,Denizli
L100000831390,way/169679398-380,Amasya
L100001077592,way/130740157-380,Afyonkarahisar
L100001077772,way/966899330-380,Sakarya
L100001078001,way/966899330-380,Sakarya
L100001078095,TR44-380,Istanbul
L100001078364,way/966899330-380,Sakarya
L100001079566,TR44-380,Istanbul
L100001078378,TR44-380,Istanbul
L100001078399,TR44-380,Istanbul
L100001078474,TR44-380,Istanbul
L100001079140,TR44-380,Istanbul
L100001079729,way/966899330-380,Sakarya
L100001079799,way/966899330-380,Sakarya
L100001079881,way/966899330-380,Sakarya
L100001079962,TR44-380,Istanbul
L100001080035,way/966899330-380,Sakarya
L100001080063,way/966899330-380,Sakarya
L100000831433,way/468958964-380,Canakkale
L100000831395,way/130740157-380,Afyonkarahisar
L100001077721,way/172934516-380,Beysehir
L100001079160,way/172934497-380,Konya
L100001079180,way/172934497-380,Konya
L100001079189,way/172934497-380,Konya
L100001079190,way/172934497-380,Konya
L100001079207,way/172934497-380,Konya
L100001079286,way/172934497-380,Konya
L100001079969,way/172934497-380,Konya
L100001079983,way/172934516-380,Beysehir
L100001080011,way/172934497-380,Konya
L100001080015,way/172934497-380,Konya
L100001080055,way/172934497-380,Konya
L100001080076,way/172934497-380,Konya
L100001079256,way/172934516-380,Beysehir
L100001079259,way/172934497-380,Konya
L100001079261,way/172934497-380,Konya
L100001079266,way/172934516-380,Beysehir
L100001079309,way/172934497-380,Konya
L100001079335,way/172934497-380,Konya
L100001079367,way/172934497-380,Konya
L100001079375,way/172934516-380,Beysehir
L100001079386,way/172934497-380,Konya
L100001079492,way/130740157-380,Afyonkarahisar
L100001079860,way/172934497-380,Konya
L100001079863,way/172934497-380,Konya
L100001079887,way/172934497-380,Konya
L100001079889,way/172934497-380,Konya
L100001079891,way/172934497-380,Konya
L100001079922,way/172934497-380,Konya
L100001079892,way/172934497-380,Konya
L100001079893,way/172934497-380,Konya
L100001079897,way/172934516-380,Beysehir
L100001079903,way/172934497-380,Konya
L100001079433,way/172934497-380,Konya
L100001079438,way/172934516-380,Beysehir
L100001079458,way/130740157-380,Afyonkarahisar
L100001079482,way/172934497-380,Konya
L100001079508,way/172934497-380,Konya
L100001079531,way/172934497-380,Konya
L100001079550,way/172934497-380,Konya
L100001079554,way/172934497-380,Konya
L100001079570,way/172934497-380,Konya
L100001079669,way/172934497-380,Konya
L100001079574,way/172934516-380,Beysehir
L100001079588,way/172934516-380,Beysehir
L100001079606,way/130740157-380,Afyonkarahisar
L100001079642,way/172934497-380,Konya
L100001079715,way/172934516-380,Beysehir
L100001079745,way/172934497-380,Konya
L100001079755,way/172934497-380,Konya
L100001079795,way/172934516-380,Beysehir
L100001079798,way/172934516-380,Beysehir
L100001079835,way/172934497-380,Konya
L100001079809,way/172934497-380,Konya
L100001079819,way/172934516-380,Beysehir
L100001079822,way/172934497-380,Konya
L100001079827,way/172934497-380,Konya
L100001077782,way/172934497-380,Konya
L100001077793,way/172934497-380,Konya
L100001077803,way/172934497-380,Konya
L100001077804,way/172934497-380,Konya
L100001077870,way/172934497-380,Konya
L100001078542,way/172934497-380,Konya
L100001078544,way/172934497-380,Konya
L100001078554,way/172934497-380,Konya
L100001078559,way/172934497-380,Konya
L100001078566,way/172934497-380,Konya
L100001078730,way/172934497-380,Konya
