bus0,bus1,voltage,s_nom,length,type
BR676-440,BR673-440,440.0,1966.2240767521896,134427.71,Al/St 240/40 4-bundle 380.0
way/172071437-440,BR676-440,440.0,1966.2240767521896,412749.94,Al/St 240/40 4-bundle 380.0
way/167516187-500,BR786-500,500.0,4468.691083527704,42425.32,Al/St 240/40 4-bundle 380.0
relation/6844204-500,BR606-500,500.0,2234.345541763852,200678.21,Al/St 240/40 4-bundle 380.0
way/167516187-500,way/131742617-500,500.0,2234.345541763852,45220.47,Al/St 240/40 4-bundle 380.0
way/168664395-500,BR487-500,500.0,2234.345541763852,476993.14,Al/St 240/40 4-bundle 380.0
way/168664395-500,BR487-500,500.0,2234.345541763852,477038.72,Al/St 240/40 4-bundle 380.0
BR668-440,BR641-440,440.0,1966.2240767521896,158419.8,Al/St 240/40 4-bundle 380.0
way/160888682-440,way/172071437-440,440.0,1966.2240767521896,28218.47,Al/St 240/40 4-bundle 380.0
way/174852067-440,way/160888682-440,440.0,1966.2240767521896,184162.47,Al/St 240/40 4-bundle 380.0
BR686-500,BR641-500,500.0,2234.345541763852,237901.3,Al/St 240/40 4-bundle 380.0
BR642-500,BR641-500,500.0,2234.345541763852,216924.75,Al/St 240/40 4-bundle 380.0
way/537470701-500,BR641-500,500.0,2234.345541763852,254224.57,Al/St 240/40 4-bundle 380.0
way/539025237-440,BR700-440,440.0,1966.2240767521896,122262.05,Al/St 240/40 4-bundle 380.0
BR621-440,BR624-440,440.0,3932.448153504379,19815.63,Al/St 240/40 4-bundle 380.0
way/537470701-500,BR641-500,500.0,2234.345541763852,254194.38,Al/St 240/40 4-bundle 380.0
BR105-500,BR208-500,500.0,2234.345541763852,252355.1,Al/St 240/40 4-bundle 380.0
way/302931307-500,BR606-500,500.0,2234.345541763852,201209.29,Al/St 240/40 4-bundle 380.0
BR544-500,BR592-500,500.0,2234.345541763852,462982.08,Al/St 240/40 4-bundle 380.0
relation/6844204-500,BR515-500,500.0,2234.345541763852,274153.17,Al/St 240/40 4-bundle 380.0
way/174852067-500,BR602-500,500.0,2234.345541763852,86916.25,Al/St 240/40 4-bundle 380.0
way/174852067-500,BR629-500,500.0,2234.345541763852,86703.97,Al/St 240/40 4-bundle 380.0
way/202622375-765,BR755-765,765.0,5512.078490007195,364396.54,Al/St 560/50 4-bundle 750.0
BR141-500,BR102-500,500.0,2234.345541763852,51491.17,Al/St 240/40 4-bundle 380.0
BR102-500,BR119-500,500.0,2234.345541763852,257650.39,Al/St 240/40 4-bundle 380.0
way/32300871-765,way/125761912-765,765.0,5512.078490007195,326688.15,Al/St 560/50 4-bundle 750.0
way/32300871-765,way/125761912-765,765.0,5512.078490007195,326674.6,Al/St 560/50 4-bundle 750.0
BR787-500,BR820-500,500.0,2234.345541763852,60744.45,Al/St 240/40 4-bundle 380.0
BR625-440,way/174017677-440,440.0,3932.448153504379,310101.61,Al/St 240/40 4-bundle 380.0
way/302901044-440,BR621-440,440.0,1966.2240767521896,26612.56,Al/St 240/40 4-bundle 380.0
way/302931307-440,way/174852067-440,440.0,1966.2240767521896,443490.62,Al/St 240/40 4-bundle 380.0
BR606-500,BR629-500,500.0,2234.345541763852,181231.42,Al/St 240/40 4-bundle 380.0
way/188465343-500,BR858-500,500.0,2234.345541763852,2943.73,Al/St 240/40 4-bundle 380.0
way/188465343-500,BR858-500,500.0,2234.345541763852,2922.32,Al/St 240/40 4-bundle 380.0
BR296-500,BR282-500,500.0,2234.345541763852,278613.3,Al/St 240/40 4-bundle 380.0
BR294-500,BR282-500,500.0,2234.345541763852,341866.36,Al/St 240/40 4-bundle 380.0
