bus0,bus1,voltage,s_nom,length,type
way/105757794-380,way/107683818-380,380.0,1698.1026117405274,88633.8,Al/St 240/40 4-bundle 380.0
way/105757794-380,IT107-380,380.0,1698.1026117405274,82827.57,Al/St 240/40 4-bundle 380.0
IT107-380,way/39255054-380,380.0,1698.1026117405274,5767.78,Al/St 240/40 4-bundle 380.0
way/99826025-380,way/105581403-380,380.0,1698.1026117405274,41070.23,Al/St 240/40 4-bundle 380.0
way/99694910-380,way/103653592-380,380.0,1698.1026117405274,63260.77,Al/St 240/40 4-bundle 380.0
way/99826025-380,way/99694910-380,380.0,1698.1026117405274,52288.1,Al/St 240/40 4-bundle 380.0
way/104359058-380,way/99694910-380,380.0,1698.1026117405274,50043.28,Al/St 240/40 4-bundle 380.0
way/103653592-380,way/100952845-380,380.0,1698.1026117405274,66927.37,Al/St 240/40 4-bundle 380.0
way/98902899-380,way/99694910-380,380.0,1698.1026117405274,64727.63,Al/St 240/40 4-bundle 380.0
way/98902899-380,way/99826025-380,380.0,1698.1026117405274,30301.47,Al/St 240/40 4-bundle 380.0
way/82767145-380,way/82759380-380,380.0,3396.205223481055,7514.72,Al/St 240/40 4-bundle 380.0
way/82767145-380,way/82762493-380,380.0,1698.1026117405274,5504.72,Al/St 240/40 4-bundle 380.0
way/82767145-380,way/82759380-380,380.0,3396.205223481055,7514.72,Al/St 240/40 4-bundle 380.0
way/82767145-380,way/82759380-380,380.0,3396.205223481055,7416.07,Al/St 240/40 4-bundle 380.0
way/82767145-380,way/82759380-380,380.0,3396.205223481055,7416.07,Al/St 240/40 4-bundle 380.0
way/82767145-380,way/82762493-380,380.0,1698.1026117405274,5595.8,Al/St 240/40 4-bundle 380.0
way/339104227-380,way/93315059-380,380.0,1698.1026117405274,16986.76,Al/St 240/40 4-bundle 380.0
way/162960205-380,way/339104227-380,380.0,1698.1026117405274,26829.36,Al/St 240/40 4-bundle 380.0
way/772234863-380,way/133601335-380,380.0,1698.1026117405274,17345.2,Al/St 240/40 4-bundle 380.0
relation/6277789-380,way/131291789-380,380.0,1698.1026117405274,29261.95,Al/St 240/40 4-bundle 380.0
way/131291789-380,way/155791516-380,380.0,1698.1026117405274,35786.1,Al/St 240/40 4-bundle 380.0
way/75378894-380,way/74677138-380,380.0,1698.1026117405274,17257.55,Al/St 240/40 4-bundle 380.0
way/74677138-380,IT52-380,380.0,1698.1026117405274,21254.93,Al/St 240/40 4-bundle 380.0
IT52-380,way/152597636-380,380.0,1698.1026117405274,2724.53,Al/St 240/40 4-bundle 380.0
way/98427149-380,way/98901130-380,380.0,1698.1026117405274,8817.32,Al/St 240/40 4-bundle 380.0
way/82078641-380,way/82084019-380,380.0,1698.1026117405274,12912.48,Al/St 240/40 4-bundle 380.0
way/82078641-380,way/82084013-380,380.0,1698.1026117405274,42975.09,Al/St 240/40 4-bundle 380.0
way/72581705-380,way/162828577-380,380.0,1698.1026117405274,27813.21,Al/St 240/40 4-bundle 380.0
way/34157795-380,way/189612607-380,380.0,1698.1026117405274,2885.67,Al/St 240/40 4-bundle 380.0
way/189612607-380,way/74677138-380,380.0,1698.1026117405274,13198.29,Al/St 240/40 4-bundle 380.0
way/62326314-380,way/189612607-380,380.0,1698.1026117405274,8888.35,Al/St 240/40 4-bundle 380.0
way/189612607-380,way/74677138-380,380.0,1698.1026117405274,13198.29,Al/St 240/40 4-bundle 380.0
way/74677138-380,way/68299044-380,380.0,1698.1026117405274,12883.8,Al/St 240/40 4-bundle 380.0
way/82078641-380,way/59556712-380,380.0,1698.1026117405274,40057.71,Al/St 240/40 4-bundle 380.0
way/211180338-380,way/116517585-380,380.0,1698.1026117405274,12087.68,Al/St 240/40 4-bundle 380.0
way/211180338-380,way/116517585-380,380.0,1698.1026117405274,12102.19,Al/St 240/40 4-bundle 380.0
way/58440884-380,way/116697005-380,380.0,1698.1026117405274,69552.77,Al/St 240/40 4-bundle 380.0
way/116697005-380,way/82078641-380,380.0,1698.1026117405274,25976.19,Al/St 240/40 4-bundle 380.0
way/42206116-380,way/75602396-380,380.0,1698.1026117405274,31821.84,Al/St 240/40 4-bundle 380.0
way/772234863-380,way/42206116-380,380.0,1698.1026117405274,30592.4,Al/St 240/40 4-bundle 380.0
way/133601335-380,way/75947556-380,380.0,1698.1026117405274,18012.05,Al/St 240/40 4-bundle 380.0
way/116518388-380,way/58440884-380,380.0,1698.1026117405274,47353.52,Al/St 240/40 4-bundle 380.0
way/72475426-380,way/120356593-380,380.0,1698.1026117405274,18828.57,Al/St 240/40 4-bundle 380.0
way/120356593-380,way/58440884-380,380.0,1698.1026117405274,10305.16,Al/St 240/40 4-bundle 380.0
way/42206116-380,way/72475426-380,380.0,1698.1026117405274,15758.62,Al/St 240/40 4-bundle 380.0
way/72570378-380,way/72570474-380,380.0,1698.1026117405274,33189.62,Al/St 240/40 4-bundle 380.0
way/72570474-380,way/75378894-380,380.0,1698.1026117405274,20231.72,Al/St 240/40 4-bundle 380.0
way/72581705-380,way/72570378-380,380.0,1698.1026117405274,42377.15,Al/St 240/40 4-bundle 380.0
way/58440884-380,relation/6277789-380,380.0,1698.1026117405274,18160.89,Al/St 240/40 4-bundle 380.0
way/62326314-380,way/236661269-380,380.0,1698.1026117405274,16777.46,Al/St 240/40 4-bundle 380.0
way/236661269-380,way/202271565-380,380.0,1698.1026117405274,39269.08,Al/St 240/40 4-bundle 380.0
