bus0,bus1,voltage,s_nom,length,type
way/89636266-220,way/89635947-220,220.0,491.5560191880474,4427.94,Al/St 240/40 2-bundle 220.0
way/89636266-220,way/89635947-220,220.0,491.5560191880474,4427.68,Al/St 240/40 2-bundle 220.0
way/89635947-220,NZ35-220,220.0,491.5560191880474,2108.54,Al/St 240/40 2-bundle 220.0
way/89635947-220,NZ35-220,220.0,491.5560191880474,2108.55,Al/St 240/40 2-bundle 220.0
way/89635947-220,NZ35-220,220.0,491.5560191880474,2108.59,Al/St 240/40 2-bundle 220.0
way/89635947-220,NZ35-220,220.0,491.5560191880474,2108.64,Al/St 240/40 2-bundle 220.0
way/167177413-220,NZ8-220,220.0,491.5560191880474,1644.28,Al/St 240/40 2-bundle 220.0
way/167285336-220,NZ23-220,220.0,491.5560191880474,476822.52,Al/St 240/40 2-bundle 220.0
NZ32-220,way/167286837-220,220.0,983.1120383760948,108416.38,Al/St 240/40 2-bundle 220.0
NZ32-220,way/268826084-220,220.0,983.1120383760948,480388.41,Al/St 240/40 2-bundle 220.0
NZ7-220,way/167293888-220,220.0,983.1120383760948,90993.63,Al/St 240/40 2-bundle 220.0
NZ25-220,NZ24-220,220.0,983.1120383760948,64552.35,Al/St 240/40 2-bundle 220.0
NZ24-220,way/167285336-220,220.0,983.1120383760948,35298.66,Al/St 240/40 2-bundle 220.0
way/180514007-220,way/270521928-220,220.0,983.1120383760948,187374.18,Al/St 240/40 2-bundle 220.0
way/167572576-220,NZ24-220,220.0,491.5560191880474,34574.92,Al/St 240/40 2-bundle 220.0
way/272522517-220,NZ13-220,220.0,491.5560191880474,489170.54,Al/St 240/40 2-bundle 220.0
way/33795353-220,NZ28-220,220.0,983.1120383760948,27347.8,Al/St 240/40 2-bundle 220.0
way/170300247-220,way/89635947-220,220.0,983.1120383760948,19070.8,Al/St 240/40 2-bundle 220.0
NZ40-220,way/180514007-220,220.0,983.1120383760948,203970.42,Al/St 240/40 2-bundle 220.0
NZ40-220,way/180519027-220,220.0,983.1120383760948,88853.36,Al/St 240/40 2-bundle 220.0
NZ9-220,way/187858674-220,220.0,983.1120383760948,9035.54,Al/St 240/40 2-bundle 220.0
NZ9-220,way/167293888-220,220.0,983.1120383760948,94317.36,Al/St 240/40 2-bundle 220.0
way/235066414-220,way/188180344-220,220.0,983.1120383760948,138280.76,Al/St 240/40 2-bundle 220.0
way/412589726-220,NZ41-220,220.0,491.5560191880474,4761.5,Al/St 240/40 2-bundle 220.0
way/87837416-220,NZ12-220,220.0,983.1120383760948,114698.03,Al/St 240/40 2-bundle 220.0
NZ11-220,NZ12-220,220.0,491.5560191880474,1214.17,Al/St 240/40 2-bundle 220.0
NZ12-220,NZ11-220,220.0,491.5560191880474,1214.19,Al/St 240/40 2-bundle 220.0
way/627162826-220,NZ26-220,220.0,491.5560191880474,5336.15,Al/St 240/40 2-bundle 220.0
way/89943957-220,way/232382576-220,220.0,983.1120383760948,14661.62,Al/St 240/40 2-bundle 220.0
way/89664063-220,NZ38-220,220.0,491.5560191880474,3959.86,Al/St 240/40 2-bundle 220.0
way/93556808-220,way/272522517-220,220.0,491.5560191880474,26511.59,Al/St 240/40 2-bundle 220.0
way/167285260-220,way/270554679-220,220.0,983.1120383760948,45765.3,Al/St 240/40 2-bundle 220.0
way/270554679-220,way/270556206-220,220.0,983.1120383760948,90804.4,Al/St 240/40 2-bundle 220.0
way/270554679-220,way/255873374-220,220.0,491.5560191880474,32586.74,Al/St 240/40 2-bundle 220.0
way/167177413-220,NZ7-220,220.0,491.5560191880474,3334.06,Al/St 240/40 2-bundle 220.0
NZ7-220,way/167177413-220,220.0,491.5560191880474,3334.04,Al/St 240/40 2-bundle 220.0
way/119877500-220,way/270022030-220,220.0,983.1120383760948,130289.78,Al/St 240/40 2-bundle 220.0
way/100957314-220,NZ28-220,220.0,983.1120383760948,111452.34,Al/St 240/40 2-bundle 220.0
way/268841395-220,NZ41-220,220.0,983.1120383760948,335820.93,Al/St 240/40 2-bundle 220.0
way/167427251-220,NZ9-220,220.0,983.1120383760948,413722.88,Al/St 240/40 2-bundle 220.0
way/167300914-220,NZ25-220,220.0,491.5560191880474,2315.0,Al/St 240/40 2-bundle 220.0
way/95512216-220,way/1034927052-220,220.0,983.1120383760948,200489.24,Al/St 240/40 2-bundle 220.0
way/95512216-220,way/409049317-220,220.0,983.1120383760948,109103.41,Al/St 240/40 2-bundle 220.0
way/89636510-220,NZ33-220,220.0,491.5560191880474,2070.2,Al/St 240/40 2-bundle 220.0
way/89636510-220,NZ33-220,220.0,491.5560191880474,2070.21,Al/St 240/40 2-bundle 220.0
way/89636510-220,NZ33-220,220.0,491.5560191880474,2070.23,Al/St 240/40 2-bundle 220.0
