from_cluster_id,from_cluster_type,to_cluster_id,to_cluster_type,s_nom,num_lines,voltage,length,bus0,bus1,type,line_id,from_bus,to_bus,connection_type,length,water_distance_km,water_share,crosses_water,water_types
40,renewable,6,demand,127357.69588053957,47.0,500.0,250.1122163382254,sol40,dem6,Renewable cluster 40 to Demand cluster 6,,,,,250.1122163382254,0.0,0.0,False,[]
40,renewable,6,generation,2234.345541763852,1.0,500.0,713.1982842592354,sol40,gen6,Renewable cluster 40 to Generation cluster 6,,,,,713.1982842592354,0.0,0.0,False,[]
42,renewable,6,demand,4468.691083527704,2.0,500.0,339.6038617287744,sol42,dem6,Renewable cluster 42 to Demand cluster 6,,,,,339.6038617287744,0.0,0.0,False,[]
46,renewable,2,demand,24577.80095940237,8.0,500.0,252.50480153570362,sol46,dem2,Renewable cluster 46 to Demand cluster 2,,,,,252.50480153570362,0.0,0.0,False,[]
46,renewable,3,generation,20109.109875874667,6.0,500.0,438.5321542500939,sol46,gen3,Renewable cluster 46 to Generation cluster 3,,,,,438.5321542500939,0.0,0.0,False,[]
46,renewable,6,demand,17874.764334110816,7.0,500.0,372.9235793347848,sol46,dem6,Renewable cluster 46 to Demand cluster 6,,,,,372.9235793347848,0.0,0.0,False,[]
48,renewable,3,demand,8937.382167055408,2.0,500.0,162.23641068887906,sol48,dem3,Renewable cluster 48 to Demand cluster 3,,,,,162.23641068887906,0.0,0.0,False,[]
49,renewable,3,demand,17874.764334110816,7.0,500.0,338.1974969808437,sol49,dem3,Renewable cluster 49 to Demand cluster 3,,,,,338.1974969808437,0.0,0.0,False,[]
50,renewable,3,demand,20109.109875874667,7.0,500.0,18.71415260491401,sol50,dem3,Renewable cluster 50 to Demand cluster 3,,,,,18.71415260491401,0.0,0.0,False,[]
54,renewable,0,demand,24577.80095940237,7.0,500.0,481.81801641874523,sol54,dem0,Renewable cluster 54 to Demand cluster 0,,,,,481.81801641874523,0.0,0.0,False,[]
54,renewable,4,generation,8937.382167055408,2.0,500.0,529.9515908953441,sol54,gen4,Renewable cluster 54 to Generation cluster 4,,,,,529.9515908953441,0.0,0.0,False,[]
