bus0,bus1,voltage,s_nom,r,x,b,length,type
way/274630377-220,way/172997498-220,220,983.112,1.38934,6.969857,0.00036373,46311.34,Al/St 240/40 2-bundle 220.0
way/1128250707-380,way/32076853-380,380,1698.103,0.950316,7.792591,0.00013733,31677.2,Al/St 240/40 4-bundle 380.0
way/1128250707-220,way/32076853-220,220,491.556,1.899958,9.531454,0.00012435,31665.96,Al/St 240/40 2-bundle 220.0
way/63114179-380,DE102-380,380,1698.103,0.239296,1.962231,3.46e-05,7976.55,Al/St 240/40 4-bundle 380.0
DE132-220,way/90148336-220,220,983.112,0.172874,0.867252,4.53e-05,5762.47,Al/St 240/40 2-bundle 220.0
DE154-380,way/395847307-380,380,1698.103,0.999009,8.191871,0.00014437,33300.29,Al/St 240/40 4-bundle 380.0
way/22766160-220,way/395847307-220,220,491.556,3.73192,18.721797,0.00024425,62198.66,Al/St 240/40 2-bundle 220.0
way/23583867-380,way/22720647-380,380,3396.205,0.466993,3.829339,0.00026995,31132.84,Al/St 240/40 4-bundle 380.0
way/43688805-380,DE196-380,380,3396.205,0.538702,4.417353,0.0003114,35913.44,Al/St 240/40 4-bundle 380.0
way/156673636-380,way/202747445-380,380,3396.205,1.088911,8.929067,0.00062945,72594.04,Al/St 240/40 4-bundle 380.0
way/87653464-380,way/88916034-380,380,5094.308,0.828459,6.793365,0.00107751,82845.91,Al/St 240/40 4-bundle 380.0
way/449010725-380,way/35176751-380,380,3396.205,1.005356,8.243919,0.00058115,67023.73,Al/St 240/40 4-bundle 380.0
way/42872354-220,way/829116805-220,220,491.556,0.346166,1.736601,2.27e-05,5769.44,Al/St 240/40 2-bundle 220.0
DE118-220,way/23192640-220,220,983.112,0.217335,1.090299,5.69e-05,7244.51,Al/St 240/40 2-bundle 220.0
way/25786404-220,way/41334805-220,220,491.556,0.890531,4.467496,5.83e-05,14842.18,Al/St 240/40 2-bundle 220.0
way/41334805-380,way/97825259-380,380,1698.103,0.413566,3.391238,5.98e-05,13785.52,Al/St 240/40 4-bundle 380.0
way/29472852-220,DE37-220,220,983.112,0.356405,1.787967,9.33e-05,11880.18,Al/St 240/40 2-bundle 220.0
way/24267175-220,DE125-220,220,983.112,0.111968,0.561707,2.93e-05,3732.27,Al/St 240/40 2-bundle 220.0
DE180-220,way/1327333163-220,220,491.556,2.211953,11.09663,0.00014477,36865.88,Al/St 240/40 2-bundle 220.0
way/35954395-380,DE207-380,380,1698.103,0.039315,0.322383,5.68e-06,1310.5,Al/St 240/40 4-bundle 380.0
way/22765517-380,DE138-380,380,1698.103,0.132684,1.088011,1.92e-05,4422.81,Al/St 240/40 4-bundle 380.0
way/22765517-220,DE138-220,220,491.556,0.266268,1.335778,1.74e-05,4437.8,Al/St 240/40 2-bundle 220.0
DE79-220,way/24462228-220,220,491.556,0.308823,1.549262,2.02e-05,5147.05,Al/St 240/40 2-bundle 220.0
DE167-380,DE172-380,380,3396.205,0.153952,1.262407,8.9e-05,10263.47,Al/St 240/40 4-bundle 380.0
way/151967290-220,DE172-220,220,983.112,0.466234,2.338943,0.00012206,15541.15,Al/St 240/40 2-bundle 220.0
way/41072584-380,DE121-380,380,3396.205,0.050404,0.413317,2.91e-05,3360.3,Al/St 240/40 4-bundle 380.0
DE127-380,DE128-380,380,3396.205,0.030556,0.250561,1.77e-05,2037.08,Al/St 240/40 4-bundle 380.0
DE145-220,DE148-220,220,983.112,0.447994,2.247435,0.00011728,14933.12,Al/St 240/40 2-bundle 220.0
way/29331499-380,way/27149550-380,380,1698.103,2.045603,16.773941,0.00029562,68186.75,Al/St 240/40 4-bundle 380.0
