bus_id,voltage,dc,symbol,under_construction,tags,x,y,country
DE143-380,380,f,Substation,f,DE143,7.929500899999997,50.81890659420363,DE
DE144-380,380,f,Substation,f,DE144,7.0586911,50.810155694199445,DE
DE145-220,220,f,Substation,f,DE145,8.044001700000008,50.78721689418857,DE
DE146-380,380,f,Substation,f,DE146,8.32094370000001,50.72948799416107,DE
DE147-380,380,f,Substation,f,DE147,7.911066904889611,50.72714050451631,DE
DE148-220,220,f,Substation,f,DE148,7.921593908421359,50.71402624752045,DE
DE148-380,380,f,Substation,f,DE148,7.921885680637826,50.714222269706745,DE
DE149-380,380,f,Substation,f,DE149,12.82597209999999,50.656844394126125,DE
DE15-220,220,f,Substation,f,DE15,8.872609900000006,53.18491079520469,DE
DE150-380,380,f,Substation,f,DE150,8.015175799656419,50.63921884447252,DE
DE151-220,220,f,Substation,f,DE151,11.473173138493124,50.60092147875248,DE
DE152-380,380,f,Substation,f,DE152,8.464794649112603,50.60065519440997,DE
DE153-380,380,f,Substation,f,DE153,7.074157799999995,50.59365769409558,DE
DE154-380,380,f,Substation,f,DE154,7.095084785048758,50.58369395978301,DE
DE155-380,380,f,Substation,f,DE155,7.5000685563369665,50.34548014620125,DE
DE156-380,380,f,Substation,f,DE156,8.123871700000004,50.30984999395615,DE
DE157-380,380,f,Substation,f,DE157,11.77528078716457,50.20809320931358,DE
DE158-380,380,f,Substation,f,DE158,11.673441800000012,50.19603029389925,DE
DE159-380,380,f,Substation,f,DE159,8.586284889936357,50.13518576683037,DE
DE16-220,220,f,Substation,f,DE16,13.966431464205426,53.17461519628457,DE
DE160-220,220,f,Substation,f,DE160,8.54267360000001,50.09608319384877,DE
DE161-380,380,f,Substation,f,DE161,8.492270955137096,50.08394191299407,DE
DE162-380,380,f,Substation,f,DE162,8.437251353153771,50.059823329409305,DE
DE163-220,220,f,Substation,f,DE163,10.196749100000014,50.028015193814085,DE
DE164-220,220,f,Substation,f,DE164,6.1941964,49.945266093771714,DE
DE165-380,380,f,Substation,f,DE165,8.673573990762977,49.94240518380396,DE
DE166-220,220,f,Substation,f,DE166,7.818220453198624,49.89198335451199,DE
DE167-380,380,f,Substation,f,DE167,6.512023599999998,49.88357789373983,DE
